"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"5462","within an hour",100,91,"TRUE",12,"phone_email",-33.92862,18.38026,"Private room",2,1,1,1,1100,2,1125,1.9,1125,35,0.45,5,"FALSE","no",144
"5463","within a few hours",100,72,"TRUE",5,"phone_email",-33.82482,18.47962,"Entire home/apt",2,1,1,1,719,3,60,3,60,47,0.43,4.81,"FALSE","no",127
"5464","within an hour",100,100,"FALSE",1,"phone_email",-33.91831,18.4248,"Entire home/apt",3,1,1,1,797,2,1080,2.2,1125,5,0.93,4.6,"FALSE","no",23
"5465","within a few hours",100,77,"FALSE",1,"phone_email",-34.19446,18.44199,"Entire home/apt",8,2,4,6,1700,3,365,3,365,51,0.39,4.51,"FALSE","no",137
"5466","within an hour",100,100,"FALSE",1,"phone_email",-34.13465,18.38897,"Entire home/apt",6,2,4,4,2003,5,30,5,30,6,0.13,4.83,"FALSE","yes",75
"5467","within a few hours",100,59,"FALSE",1,"phone_email",-33.79842,18.50573,"Entire home/apt",4,2,2,2,1743,2,365,2,365,12,0.31,4.92,"FALSE","no",49
"5468","within an hour",100,44,"FALSE",2,"phone_email",-33.87893,18.55131,"Entire home/apt",2,1,1,1,850,2,365,2,365,70,1,4.96,"FALSE","yes",91
"5469","within an hour",100,100,"FALSE",2,"phone_email",-34.1036,18.47239,"Entire home/apt",2,1,1,1,713,1,14,1,1125,61,0.87,4.79,"TRUE","no",135
"5470","within an hour",100,100,"TRUE",2,"phone_email",-33.92615,18.42045,"Entire home/apt",2,1,1,1,1200,4,200,4,1125,143,1.35,4.89,"FALSE","no",135
"5471","within an hour",100,96,"TRUE",41,"phone_email",-33.96546173,18.38083076,"Entire home/apt",2,1,0,1,3150,3,60,3.1,1125,40,0.69,4.9,"FALSE","no",126
"5472","within a few hours",100,100,"TRUE",1,"phone_email",-33.92366,18.41,"Entire home/apt",2,1,1,1,897,2,1125,2,1125,64,0.92,4.86,"FALSE","no",120
"5473","within a few hours",100,63,"FALSE",1,"phone_only",-33.81749,18.48014,"Entire home/apt",3,1,1,2,1080,1,365,1,365,2,0.23,5,"FALSE","no",89
"5474","within an hour",100,97,"TRUE",10,"phone_email",-33.91095,18.39276,"Entire home/apt",2,1,1,1,850,2,365,2.4,365,42,3.43,4.98,"FALSE","no",100
"5475","within an hour",100,82,"TRUE",12,"phone_email",-33.91283,18.41836,"Entire home/apt",2,1,1,1,3168,2,30,2,30,50,0.78,4.84,"FALSE","no",149
"5476","within an hour",100,63,"TRUE",49,"phone_email",-33.9190941,18.420038,"Entire home/apt",2,1,1,1,1397,14,365,14,365,8,0.59,4.5,"FALSE","no",141
"5477","within an hour",100,100,"TRUE",1,"phone_email",-33.812656,18.4718671,"Entire home/apt",4,2,2,3,1629,3,60,3.5,60,26,1.95,5,"FALSE","no",111
"5478","within an hour",100,96,"TRUE",148,"phone_email",-33.91321,18.41861,"Entire home/apt",2,1,1,1,1475,2,1125,2,1125,49,3.18,4.82,"FALSE","no",91
"5479","within an hour",100,93,"TRUE",1,"phone_email",-33.96315,18.38557,"Private room",2,1,1,2,564,2,90,2,90,177,1.35,4.9,"TRUE","no",143
"5480","within a few hours",90,80,"TRUE",6,"phone_email",-33.96813,18.46867,"Entire home/apt",2,1,1,1,1254,2,45,2.5,1125,10,0.15,4.8,"FALSE","no",153
"5481","within a few hours",100,80,"FALSE",7,"phone_email",-33.858356,18.490376,"Private room",2,1,1,2,1118,2,1125,5.1,1125,7,0.05,5,"FALSE","no",197
"5482","within a day",50,44,"FALSE",1,"phone_email",-33.8230536,18.6605106,"Entire home/apt",4,2,2,2,1500,1,365,1,365,4,0.43,5,"FALSE","no",22
"5483","within an hour",100,98,"TRUE",48,"phone_email",-34.10787,18.47029,"Entire home/apt",6,2,3,4,1625,2,1125,5.4,1125,5,0.1,4.2,"TRUE","no",92
"5484","within an hour",67,79,"FALSE",3,"phone_email",-33.92723,18.42338,"Entire home/apt",4,2.5,2,2,1833,3,60,3,1125,37,1.02,4.78,"TRUE","no",47
"5485","within an hour",99,100,"TRUE",46,"phone_email",-33.91680215,18.42032147,"Entire home/apt",4,2,2,2,2851,1,365,2,365,9,2.23,4.89,"TRUE","no",64
"5486","within a few hours",100,86,"FALSE",1,"phone_email",-34.01624,18.36107,"Entire home/apt",8,3.5,5,6,4927,2,1125,2.8,1125,111,1.03,4.88,"FALSE","no",135
"5487","within an hour",100,92,"TRUE",1,"phone_email",-34.1391902,18.3294118,"Entire home/apt",2,1,1,1,1853,1,365,1,365,15,1.5,4.93,"FALSE","no",167
"5488","within a day",100,16,"FALSE",2,"phone_email",-33.96739,18.46969,"Entire home/apt",4,1,2,2,1200,2,365,2,365,2,0.24,5,"FALSE","no",116
"5489","within a few hours",100,90,"FALSE",6,"phone_email",-33.83234,18.48162,"Entire home/apt",4,2,2,3,2000,5,35,4,35,25,0.51,4.84,"FALSE","no",60
"5490","within an hour",99,88,"FALSE",83,"phone_email",-33.90427,18.399092,"Entire home/apt",4,1,2,0,884,1,1125,3.4,1125,45,1.31,4.4,"TRUE","yes",163
"5491","within an hour",100,94,"FALSE",21,"phone_email",-33.92117,18.41216,"Entire home/apt",6,3,3,3,1440,2,180,3.4,180,24,1.18,4.67,"FALSE","no",62
"5492","within an hour",100,86,"TRUE",10,"phone_email",-33.92289933,18.41307923,"Private room",2,3,1,2,334,25,365,2.9,365,5,0.15,5,"FALSE","no",137
"5493","within an hour",100,100,"FALSE",7,"phone_email",-33.82227697,18.49453132,"Entire home/apt",2,1,1,1,1115,1,90,1,90,8,1,5,"FALSE","no",114
"5494","within an hour",100,90,"FALSE",109,"phone_email",-33.94517,18.46902,"Entire home/apt",2,1,1,1,1096,2,1125,2.3,1125,14,0.26,4.79,"TRUE","no",141
"5495","within an hour",100,89,"FALSE",42,"phone_email",-33.92285,18.38016,"Entire home/apt",2,1,1,1,529,2,1080,2.2,1125,24,0.69,4.13,"FALSE","no",42
"5496","within a few hours",100,100,"FALSE",2,"phone_only",-34.0614913,18.8379806,"Entire home/apt",2,1,1,1,608,3,365,2.7,365,7,0.31,4.86,"FALSE","no",106
"5497","within an hour",100,97,"TRUE",2,"phone_email",-34.19483,18.42967,"Private room",4,2,2,2,1140,2,31,2,1125,12,0.15,4.92,"TRUE","no",120
"5498","within an hour",100,100,"FALSE",4,"phone_email",-33.9182604,18.4179181,"Entire home/apt",2,1,1,1,1353,2,365,2.1,365,1,1,5,"FALSE","no",147
"5499","within a few hours",100,71,"FALSE",3,"phone_email",-33.92077,18.41146,"Entire home/apt",2,1,1,0,1635,7,60,7,60,1,0.11,5,"FALSE","yes",118
"5500","within an hour",96,94,"TRUE",75,"phone_email",-33.94770813,18.37887955,"Entire home/apt",12,5.5,6,7,12792,4,90,4.8,90,41,0.56,4.78,"FALSE","no",156
"5501","within an hour",98,99,"FALSE",292,"phone_email",-33.78949,18.50985,"Entire home/apt",2,1,1,1,1288,1,1125,1,1125,21,0.42,4,"FALSE","no",116
"5502","within a few hours",100,100,"FALSE",1,"phone_email",-33.79786,18.47707,"Entire home/apt",4,2,2,2,1480,2,90,2,90,1,0.17,5,"FALSE","no",17
"5503","within an hour",100,98,"TRUE",3,"phone_email",-33.92219,18.41995,"Entire home/apt",2,1,1,1,787,2,1125,2,1125,229,3.13,4.9,"FALSE","no",119
"5504","within a day",70,67,"TRUE",6,"phone_email",-33.90973,18.42209,"Entire home/apt",2,1,1,2,4109,2,1125,2.2,1125,1,0.13,5,"FALSE","no",152
"5505","within an hour",100,98,"FALSE",3,"phone_email",-33.89981555,18.40766782,"Entire home/apt",2,1,1,1,1212,1,365,1,1125,43,1.7,4.65,"TRUE","no",115
"5506","within an hour",100,94,"FALSE",1,"phone_email",-33.87026,18.56086,"Entire home/apt",1,1,1,1,315,2,30,2,30,38,0.62,4.92,"FALSE","yes",85
"5507","within an hour",100,58,"TRUE",18,"phone_email",-33.95591,18.37886,"Entire home/apt",10,5,5,5,12857,3,30,3.3,30,17,0.16,4.76,"FALSE","no",158
"5508","within an hour",100,88,"FALSE",1,"phone_email",-33.80003646,18.53127671,"Private room",2,1,1,1,308,1,365,1,365,2,1.46,4.5,"FALSE","yes",74
"5509","within an hour",95,83,"TRUE",23,"phone_email",-34.11867,18.37416,"Entire home/apt",6,2.5,3,3,4938,5,365,5,365,41,1.3,5,"FALSE","no",100
"5510","within an hour",100,100,"FALSE",1,"phone_email",-34.02236365,18.37187032,"Entire home/apt",10,2,5,5,5136,3,100,3,1125,6,0.34,4.5,"FALSE","no",27
"5511","within a day",50,17,"FALSE",2,"phone_email",-33.83669,18.5475,"Entire home/apt",4,2,2,2,2328,3,365,3,365,1,0.03,5,"FALSE","no",91
"5512","within a day",80,17,"TRUE",2,"phone_email",-33.91216,18.4077,"Entire home/apt",4,1,2,2,2058,2,90,2,90,11,0.5,5,"FALSE","no",39
"5513","within an hour",100,58,"TRUE",4,"phone_email",-33.80418,18.46688,"Private room",2,1,1,1,723,1,1125,1,1125,22,0.19,5,"FALSE","no",145
"5514","within a day",100,57,"FALSE",1,"phone_email",-33.92737697,18.4136368,"Private room",2,0.5,1,2,601,2,365,2,365,2,0.3,5,"FALSE","yes",129
"5515","within an hour",100,74,"FALSE",35,"phone_email",-33.9122,18.42557,"Entire home/apt",4,2,2,3,4363,7,120,7,120,2,0.22,5,"FALSE","no",97
"5516","within a few hours",100,86,"FALSE",1,"phone_email",-33.98321,18.45462,"Entire home/apt",8,3,4,4,5900,12,60,11.9,60,6,0.29,5,"FALSE","no",124
"5517","within a few hours",94,64,"TRUE",3,"phone_email",-33.93226,18.40309,"Entire home/apt",2,1.5,1,1,2615,2,30,2,30,9,0.7,5,"FALSE","no",150
"5518","within an hour",94,93,"FALSE",51,"phone_email",-33.91295,18.41379,"Entire home/apt",2,1,1,1,570,2,1125,2,1125,189,2.5,4.59,"FALSE","yes",145
"5519","within a day",90,86,"TRUE",32,"phone_email",-33.92609,18.41593,"Entire home/apt",2,1,0,1,775,1,7,1,7,49,2.2,4.84,"FALSE","no",124
"5520","within an hour",100,100,"FALSE",4,"phone_email",-33.91332,18.41196,"Entire home/apt",2,1,1,2,661,2,1125,2,1125,107,1.56,4.75,"FALSE","no",166
"5521","within an hour",100,100,"FALSE",5,"phone_email",-33.9185815,18.3868487,"Entire home/apt",2,1,1,1,1630,1,365,1,365,22,1.14,4.64,"TRUE","no",110
"5522","within an hour",100,100,"FALSE",2,"phone_only",-33.87785,18.70085,"Entire home/apt",2,1,1,1,754,1,1125,1,1125,31,0.58,4.97,"FALSE","yes",101
"5523","within an hour",100,100,"TRUE",4,"phone_email",-33.86481,18.50304,"Private room",1,1,1,1,356,2,180,2,1125,54,0.51,4.93,"FALSE","no",128
"5524","within an hour",100,91,"FALSE",29,"phone_email",-33.9201253,18.4238677,"Entire home/apt",2,1,1,1,619,2,1080,2.2,1125,19,1.1,4.37,"FALSE","no",68
"5525","within an hour",100,58,"TRUE",11,"phone_email",-33.91006,18.39206,"Entire home/apt",2,1,1,1,1629,1,365,1,365,3,0.14,5,"FALSE","no",145
"5526","within an hour",100,99,"TRUE",7,"phone_email",-33.89135395,18.50979602,"Entire home/apt",6,2,3,4,4078,2,1125,2.2,1125,73,2.04,4.79,"TRUE","no",169
"5527","within a few hours",90,74,"TRUE",4,"phone_email",-33.98146,18.46043,"Private room",2,1.5,1,1,317,5,365,5.3,318.3,56,0.46,4.77,"FALSE","yes",130
"5528","within a day",75,100,"FALSE",1,"phone_email",-33.98119,18.47974,"Entire home/apt",5,2,3,3,4000,3,21,3,21,3,0.09,5,"FALSE","no",41
"5529","within an hour",99,88,"FALSE",83,"phone_email",-33.89980698,18.40694427,"Entire home/apt",2,1,1,1,865,2,1125,3.9,1125,30,1.61,4.7,"TRUE","no",163
"5530","within an hour",100,96,"TRUE",148,"phone_email",-33.91374,18.41872,"Entire home/apt",4,2.5,2,2,3810,2,1125,2,1125,49,1.78,4.96,"FALSE","no",91
"5531","within an hour",96,97,"FALSE",72,"phone_email",-33.9148523,18.4191019,"Entire home/apt",4,2,2,2,2731,1,365,1,1125,14,0.75,4.29,"TRUE","no",135
"5532","within an hour",100,90,"FALSE",176,"phone_only",-33.94801331,18.37918282,"Entire home/apt",4,2,2,3,3415,4,1125,2.7,1125,101,1.05,4.68,"FALSE","no",123
"5533","within a day",100,25,"FALSE",1,"phone_email",-33.80874,18.67507,"Entire home/apt",5,2.5,3,3,2000,7,1125,7,1125,11,0.12,5,"FALSE","no",123
"5534","within an hour",89,50,"FALSE",1,"phone_email",-33.89983299,18.40751968,"Entire home/apt",2,1,1,1,1063,2,365,2,365,1,0.56,5,"FALSE","no",88
"5535","within an hour",100,93,"FALSE",8,"phone_email",-33.8330516,18.64635748,"Entire home/apt",8,2,3,4,3715,1,365,1,731,29,2.03,4.83,"TRUE","no",23
"5536","within an hour",91,99,"TRUE",47,"phone_only",-33.9110451,18.3922732,"Entire home/apt",4,2,2,2,3355,1,60,1.9,1125,20,0.6,4.9,"TRUE","no",42
"5537","within a day",100,100,"FALSE",1,"phone_email",-34.13988328,18.33601158,"Entire home/apt",2,1,1,1,765,4,365,4,365,1,0.11,5,"FALSE","yes",149
"5538","within an hour",100,100,"FALSE",3,"phone_email",-33.8927503,18.514943,"Entire home/apt",4,2,2,3,956,2,18,4,18,2,1.36,5,"FALSE","yes",11
"5539","within an hour",100,97,"TRUE",3,"phone_email",-33.93273,18.40645,"Entire home/apt",2,1,1,1,898,2,1125,2,1125,223,1.74,4.82,"FALSE","no",143
"5540","within an hour",100,96,"TRUE",2,"phone_email",-34.14169,18.32709,"Entire home/apt",2,1,1,1,648,4,1125,4,1125,91,1,4.88,"FALSE","no",137
"5541","within a few hours",100,100,"FALSE",1,"phone_email",-33.92223,18.39235,"Entire home/apt",8,3,3,4,9900,3,22,3.3,22,27,0.28,4.85,"FALSE","yes",102
"5542","within an hour",100,90,"FALSE",38,"phone_email",-33.81543,18.47415,"Entire home/apt",2,1,1,1,728,1,365,1,1125,26,1.71,4.42,"TRUE","no",72
"5543","within a day",75,89,"TRUE",2,"phone_email",-34.1266,18.44499,"Entire home/apt",6,2.5,3,4,5510,6,60,6,60,8,0.08,4.75,"TRUE","no",151
"5544","within an hour",100,98,"TRUE",3,"phone_email",-34.0533,18.33684,"Private room",2,1,1,1,771,2,1125,2,1125,29,0.54,4.97,"TRUE","no",110
"5545","within an hour",99,99,"TRUE",22,"phone_email",-33.9164026,18.4178684,"Entire home/apt",2,1,1,1,1390,3,365,3.2,1125,12,1.32,4.75,"TRUE","no",133
"5546","within an hour",100,100,"FALSE",1,"phone_email",-33.9279871,18.4096748,"Entire home/apt",4,1,2,3,1096,2,365,2.3,1125,8,0.43,3.88,"TRUE","yes",27
"5547","within an hour",100,98,"TRUE",43,"phone_email",-33.9131253,18.3932298,"Entire home/apt",2,1,1,1,1231,2,365,2.2,365,28,1.27,4.89,"FALSE","no",154
"5548","within a few hours",100,63,"FALSE",5,"phone_email",-33.88369,18.51984,"Entire home/apt",4,2,2,3,2059,2,1125,2.2,1125,16,0.13,4.69,"FALSE","no",130
"5549","within an hour",100,100,"FALSE",2,"phone_only",-33.8248648,18.5135551,"Private room",2,1,1,1,649,2,28,2,1125,4,0.59,5,"TRUE","no",50
"5550","within an hour",100,100,"FALSE",1,"phone_email",-33.91413,18.41854,"Entire home/apt",4,2,2,2,2029,2,365,2,1125,25,0.84,4.76,"TRUE","no",38
"5551","within an hour",100,100,"TRUE",1,"phone_email",-33.9242356,18.4211718,"Entire home/apt",4,2,2,2,2407,3,1125,3,1125,16,1.4,4.94,"FALSE","no",91
"5552","within a day",60,87,"TRUE",5,"phone_email",-33.95558,18.38404,"Entire home/apt",4,1,2,2,4275,3,90,3,90,34,1.06,4.94,"FALSE","yes",117
"5553","within an hour",95,94,"TRUE",2,"phone_email",-33.93086587,18.44921949,"Entire home/apt",4,2,2,2,989,2,90,2,90,9,1.06,4.78,"TRUE","no",133
"5554","within an hour",100,90,"FALSE",176,"phone_only",-33.9615883,18.382797,"Entire home/apt",10,5,5,5,14186,6,365,3.7,365,7,0.85,5,"FALSE","no",123
"5555","within an hour",100,95,"TRUE",3,"phone_email",-33.92449934,18.41147316,"Entire home/apt",4,1,2,2,1440,1,365,1,365,6,1.32,4.67,"FALSE","no",109
"5556","within an hour",96,100,"FALSE",1,"phone_email",-33.9193858,18.3845976,"Entire home/apt",2,1,1,1,966,2,1125,1.3,1125,15,7.76,4.93,"FALSE","no",87
"5557","within a day",100,67,"FALSE",1,"phone_email",-34.07422,18.86626,"Entire home/apt",6,2.5,2,4,2250,4,30,4.1,30,1,0.11,5,"FALSE","no",147
"5558","within a few hours",100,96,"TRUE",8,"phone_email",-34.04476,18.35584,"Entire home/apt",8,3,4,6,5607,5,60,5.6,60,7,0.49,4.71,"FALSE","no",167
"5559","within a few hours",75,88,"TRUE",1,"phone_email",-33.96771,18.46854,"Private room",2,5,1,1,799,1,1125,1,1125,79,0.67,4.92,"FALSE","no",133
"5560","within an hour",90,77,"TRUE",6,"phone_email",-33.9674534,18.38153,"Entire home/apt",2,1,1,0,1877,4,365,4,365,11,0.56,4.36,"FALSE","no",93
"5561","within an hour",100,100,"FALSE",1,"phone_email",-33.9106918,18.4124299,"Entire home/apt",3,1,2,2,2077,2,90,2.3,1125,5,1.65,5,"TRUE","no",11
"5562","within an hour",100,100,"FALSE",2,"phone_only",-34.14339341,18.85216691,"Private room",3,1,2,2,1129,5,60,5,60,5,0.61,4.6,"FALSE","no",40
"5563","within a day",86,57,"FALSE",1,"phone_email",-33.97637,18.47616,"Entire home/apt",8,2.5,4,4,2500,5,21,4.9,21,1,1,5,"FALSE","no",106
"5564","within an hour",100,94,"TRUE",4,"phone_only",-34.057381,18.820169,"Entire home/apt",1,1,1,1,1000,2,365,2,1125,29,0.26,5,"TRUE","yes",119
"5565","within an hour",100,98,"TRUE",6,"phone_email",-33.79904452,18.50500122,"Entire home/apt",2,1,1,1,1272,1,365,1,1125,10,0.35,4.5,"TRUE","no",94
"5566","within a few hours",91,47,"TRUE",4,"phone_only",-33.92033,18.41663,"Private room",2,1.5,1,1,713,2,365,2,365,5,0.46,5,"FALSE","no",106
"5567","within an hour",100,73,"FALSE",18,"phone_email",-34.03198,18.34683,"Entire home/apt",6,2,3,4,6672,1,365,2,1125,5,0.57,4.6,"TRUE","no",23
"5568","within an hour",100,86,"FALSE",3,"phone_email",-33.91029423,18.39346164,"Entire home/apt",2,1,1,1,1179,4,365,4,365,1,1,5,"FALSE","yes",68
"5569","within an hour",100,100,"FALSE",3,"phone_email",-33.97617,18.4482,"Entire home/apt",4,1,2,1,2375,1,365,1,365,1,0.04,5,"FALSE","no",76
"5570","within a few hours",91,47,"TRUE",4,"phone_only",-33.91895,18.41518,"Private room",2,1,1,0,490,3,365,3,365,16,1.22,5,"FALSE","no",106
"5571","within an hour",100,95,"FALSE",15,"phone_email",-33.92752,18.44659,"Entire home/apt",2,1,1,1,824,1,1125,1,356.7,1,1,5,"TRUE","no",10
"5572","within an hour",100,100,"TRUE",3,"phone_email",-33.97626,18.44922,"Entire home/apt",2,1,1,1,1520,1,365,1,1125,160,2.32,4.96,"TRUE","no",111
"5573","within an hour",100,100,"TRUE",4,"phone_email",-33.99072,18.49719,"Private room",1,1,1,1,300,3,14,3,1125,19,0.56,4.95,"FALSE","yes",111
"5574","within an hour",100,98,"FALSE",1,"phone_email",-33.9555806,18.3840421,"Entire home/apt",2,1,0,1,1285,2,365,2.3,1125,27,2.13,4.67,"TRUE","no",20
"5575","within a few hours",100,100,"FALSE",1,"phone_only",-33.81825419,18.47539065,"Entire home/apt",4,1,1,2,1203,3,365,3.1,365,5,0.45,5,"FALSE","yes",95
"5576","within an hour",100,90,"FALSE",176,"phone_only",-33.9404336,18.3978453,"Entire home/apt",6,3,3,3,6096,4,365,2.8,365,7,0.86,4.86,"FALSE","yes",123
"5577","within an hour",100,100,"TRUE",2,"phone_email",-33.90878,18.40813,"Entire home/apt",2,1,1,1,1010,2,21,2,1106.9,207,2.47,4.95,"TRUE","no",136
"5578","within an hour",100,100,"FALSE",108,"phone_only",-33.815422,18.472372,"Entire home/apt",4,1,2,3,1774,1,1125,2.4,1125,6,0.11,4.5,"TRUE","no",163
"5579","within an hour",100,95,"TRUE",32,"phone_email",-33.9237279,18.3810908,"Entire home/apt",4,2,2,2,2256,2,730,2,730,4,0.43,4.25,"FALSE","no",125
"5580","within an hour",99,96,"TRUE",17,"phone_email",-33.92549,18.38353,"Entire home/apt",2,1,1,1,1102,2,1125,2,365,43,2.14,4.88,"FALSE","no",84
"5581","within an hour",100,100,"TRUE",1,"phone_email",-34.10379791,18.47087288,"Entire home/apt",3,1,1,2,876,3,14,3,14,38,0.41,4.92,"FALSE","no",100
"5582","within an hour",100,96,"TRUE",41,"phone_email",-33.9556688,18.3860979,"Entire home/apt",4,2,2,2,5272,3,60,3.1,1125,21,1.11,4.9,"FALSE","no",126
"5583","within an hour",100,93,"TRUE",5,"phone_email",-33.95136,18.38032,"Entire home/apt",2,1,1,1,1250,3,60,3,60,274,2.09,4.9,"FALSE","no",139
"5584","within a few hours",100,84,"TRUE",21,"phone_email",-34.01484,18.44322,"Entire home/apt",8,4.5,4,6,4500,5,365,5.2,365,17,0.51,4.88,"FALSE","no",147
"5585","within an hour",100,62,"FALSE",2,"phone_email",-33.93589,18.41943,"Entire home/apt",4,1,2,2,1710,2,40,2,40,2,0.06,5,"FALSE","yes",113
"5586","within a few hours",100,84,"TRUE",1,"phone_email",-33.98798,18.45472,"Entire home/apt",7,2.5,3,5,2583,3,1125,4.4,1125,111,2.32,4.92,"FALSE","no",146
"5587","within an hour",100,90,"FALSE",176,"phone_only",-33.9077748,18.4070088,"Entire home/apt",4,2,2,2,1992,4,45,2.7,1125,18,0.79,4.61,"FALSE","no",123
"5588","within an hour",100,100,"FALSE",1,"phone_email",-33.9100619,18.4120274,"Entire home/apt",2,1,1,1,977,2,1125,2,1125,21,4.26,4.9,"FALSE","no",104
"5589","within an hour",83,97,"TRUE",4,"phone_email",-34.12797,18.44605,"Entire home/apt",4,1.5,2,3,1526,3,1124,3,1125,50,0.32,4.98,"TRUE","no",162
"5590","within an hour",100,100,"FALSE",2,"phone_email",-33.9099854,18.3950785,"Entire home/apt",2,1,1,1,1541,2,365,2,365,10,0.75,4.4,"FALSE","no",110
"5591","within an hour",100,92,"TRUE",6,"phone_email",-33.9302,18.43433,"Private room",2,1,1,2,570,5,365,5,365,2,0.03,5,"FALSE","no",123
"5592","within an hour",100,90,"FALSE",109,"phone_email",-33.92575,18.41627,"Entire home/apt",4,2,2,2,2354,2,365,2.1,1031.3,62,0.86,4.68,"TRUE","no",141
"5593","within an hour",100,96,"TRUE",148,"phone_email",-33.91696,18.42193,"Entire home/apt",4,2,2,2,2512,2,1125,2,1125,8,2.7,4.75,"FALSE","no",91
"5594","within an hour",100,99,"TRUE",3,"phone_email",-34.14288,18.3282,"Entire home/apt",4,2,2,3,2597,3,27,4,1100.5,221,2.05,4.9,"FALSE","no",139
"5595","within an hour",100,96,"TRUE",148,"phone_email",-33.9197088,18.385581,"Entire home/apt",2,1,1,1,1113,2,1125,2,1125,102,3.23,4.81,"FALSE","no",91
"5596","within an hour",96,94,"TRUE",75,"phone_email",-33.95939267,18.37872471,"Entire home/apt",10,4,5,5,11879,3,180,3.9,180,1,1,5,"FALSE","no",156
"5597","within an hour",100,100,"TRUE",2,"phone_email",-34.10723,18.46952,"Entire home/apt",3,1,2,2,1083,2,90,2,1125,24,0.22,4.92,"FALSE","yes",152
"5598","within an hour",100,68,"FALSE",2,"phone_email",-33.93779,18.40412,"Entire home/apt",2,1,1,1,1326,3,120,3,120,11,0.25,5,"FALSE","yes",132
"5599","a few days or more",0,50,"FALSE",1,"phone_email",-33.8252,18.47951,"Entire home/apt",8,2,4,6,2550,1,90,1,90,5,0.09,5,"FALSE","no",157
"5600","within an hour",99,97,"FALSE",41,"phone_email",-33.92668,18.45606,"Entire home/apt",2,1,1,1,1280,2,365,1.8,365,10,0.89,4.6,"FALSE","no",24
"5601","within an hour",100,100,"TRUE",2,"phone_email",-33.91821148,18.41769521,"Entire home/apt",3,1,1,2,1878,3,180,3,1125,8,0.68,4.88,"TRUE","no",22
"5602","within an hour",100,100,"TRUE",6,"phone_email",-33.80857,18.46958,"Entire home/apt",2,1,1,1,1093,1,365,1,365,4,4,5,"TRUE","no",31
"5603","within a day",100,55,"FALSE",1,"phone_email",-33.927303,18.413584,"Entire home/apt",2,1,1,1,504,28,365,28,365,6,0.17,4.83,"FALSE","yes",108
"5604","within an hour",100,90,"FALSE",1,"phone_email",-33.89786,18.50475,"Entire home/apt",2,1,1,1,1646,1,4,1,4,19,8.91,4.84,"FALSE","no",10
"5605","within an hour",100,100,"FALSE",1,"phone_email",-33.92151523,18.38158272,"Entire home/apt",2,1,1,1,695,1,1125,1,1125,5,5,4.8,"FALSE","no",9
"5606","within an hour",100,92,"TRUE",1,"phone_email",-34.07694,18.8525,"Private room",2,1,1,1,495,2,21,2,21,189,2.26,4.86,"FALSE","no",122
"5607","within an hour",97,99,"FALSE",35,"phone_email",-33.86916,18.58726,"Private room",2,1,2,1,795,1,1125,1,731,7,0.18,5,"TRUE","no",114
"5608","within a few hours",80,44,"FALSE",2,"phone_email",-33.7974841,18.4604604,"Entire home/apt",6,3.5,3,3,4275,7,365,7,365,5,0.15,5,"FALSE","yes",158
"5609","within an hour",100,64,"FALSE",1,"phone_email",-34.1939144,18.4325524,"Entire home/apt",4,2.5,2,2,1909,2,365,2,365,9,0.42,4.89,"FALSE","yes",108
"5610","within an hour",100,91,"FALSE",15,"phone_email",-33.79262,18.45823,"Entire home/apt",2,1,1,1,2143,5,40,2.5,1125,96,0.8,4.95,"FALSE","no",134
"5611","within a few hours",100,67,"FALSE",2,"phone_email",-34.06064,18.83698,"Entire home/apt",8,4.5,5,5,17200,10,28,10,1125,1,0.05,5,"TRUE","yes",147
"5612","within an hour",100,89,"TRUE",62,"phone_email",-33.93644,18.40349,"Entire home/apt",2,1,1,1,1358,1,1125,2,1125,74,2.6,4.88,"FALSE","no",130
"5613","within an hour",100,63,"FALSE",6,"phone_email",-33.81399,18.47517,"Entire home/apt",2,1,1,1,815,14,120,2,120,20,0.16,4.95,"FALSE","yes",144
"5614","within an hour",100,96,"TRUE",1,"phone_only",-34.1958,18.376,"Entire home/apt",10,5.5,5,6,5784,2,90,2.6,100,24,0.94,5,"FALSE","no",122
"5615","within a day",100,100,"FALSE",2,"phone_email",-33.92562,18.38041,"Entire home/apt",8,4,4,3,8682,10,28,14,1125,6,0.06,4.83,"FALSE","no",141
"5616","within a few hours",100,100,"FALSE",1,"phone_email",-33.9395604,18.5156317,"Entire home/apt",2,1,1,1,1018,2,365,2,365,1,0.45,5,"FALSE","no",113
"5617","within an hour",100,100,"TRUE",5,"phone_email",-33.9173083,18.388356,"Entire home/apt",2,1,0,1,1169,1,365,1.3,1125,10,0.82,4.7,"TRUE","no",22
"5618","within a few hours",100,100,"FALSE",1,"phone_email",-33.9533914,18.4792558,"Entire home/apt",2,1,1,1,902,2,365,2,365,1,1,5,"FALSE","no",92
"5619","within an hour",100,98,"TRUE",3,"phone_email",-34.05308,18.33711,"Private room",2,1,1,1,468,2,1125,2,1125,35,0.65,4.91,"TRUE","no",110
"5620","within a few hours",100,25,"FALSE",4,"phone_email",-34.0068,18.51649,"Private room",1,1,1,1,405,7,365,7,365,3,0.08,5,"FALSE","no",175
