"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"45","within an hour",100,94,"TRUE",1,"phone_email",-34.12306,18.83159,"Entire home/apt",4,2,2,3,1640,5,21,5.2,21,9,0.3,5,"FALSE","no",110
"46","within an hour",100,90,"FALSE",32,"phone_email",-33.91737747,18.42178535,"Entire home/apt",2,1,1,1,1121,2,1080,2.2,1125,115,2.43,4.66,"FALSE","no",81
"47","within an hour",100,94,"TRUE",3,"phone_email",-34.12468,18.44968,"Entire home/apt",2,1,1,1,1764,3,90,3,518.2,99,0.92,4.99,"FALSE","no",153
"48","within a day",100,100,"FALSE",1,"phone_email",-34.1260694,18.3840486,"Entire home/apt",4,1.5,2,2,1200,10,35,10,35,1,0.11,5,"FALSE","yes",54
"49","within an hour",99,99,"TRUE",9,"phone_email",-34.06075,18.82764,"Entire home/apt",2,1,1,1,1201,1,365,1,1125,83,6.55,4.89,"FALSE","no",78
"50","within an hour",100,91,"TRUE",52,"phone_email",-33.91275336,18.41139703,"Entire home/apt",6,2,3,4,6581,1,1125,2.8,1125,14,1.22,4.93,"FALSE","no",21
"51","within a few hours",100,96,"FALSE",7,"phone_email",-33.85724,18.49,"Entire home/apt",4,2.5,2,2,5529,1,1125,1.4,1125,15,0.18,5,"FALSE","no",168
"52","within a day",100,80,"FALSE",1,"phone_email",-33.92882,18.44317,"Entire home/apt",2,1,1,1,972,2,1125,2,1125,22,0.55,4.82,"FALSE","yes",93
"53","within an hour",100,100,"FALSE",3,"phone_email",-33.8841613,18.5186869,"Entire home/apt",4,2,2,2,1079,2,365,2.3,1125,16,1.34,4.56,"TRUE","no",22
"54","within a few hours",100,27,"FALSE",2,"phone_email",-34.00913,18.34307,"Entire home/apt",8,4,4,6,4500,2,90,3,90,21,0.17,4.95,"FALSE","no",132
"55","within an hour",100,97,"FALSE",1,"phone_email",-33.91437,18.39671,"Entire home/apt",2,1,1,1,920,4,730,4,730,124,1.17,4.68,"TRUE","no",143
"56","within a few hours",100,72,"TRUE",12,"phone_email",-33.92692,18.40708,"Entire home/apt",2,1,1,1,1800,2,200,2,200,24,0.66,4.88,"FALSE","no",140
"57","within an hour",100,97,"TRUE",3,"phone_email",-34.14249,18.33106,"Entire home/apt",6,3,4,5,9000,5,30,5,30,4,0.19,5,"FALSE","yes",139
"58","within an hour",100,100,"TRUE",4,"phone_email",-33.99103,18.49522,"Private room",1,1,1,2,350,3,14,3,1125,9,0.25,5,"FALSE","yes",111
"59","within an hour",100,100,"FALSE",1,"phone_email",-33.91859,18.42102,"Entire home/apt",2,1,1,1,819,2,365,2.1,1125,41,1.16,4.49,"FALSE","no",43
"60","within an hour",100,92,"TRUE",20,"phone_email",-33.9465425,18.3809195,"Entire home/apt",6,3.5,3,3,5572,4,365,4.1,365,53,1.61,4.85,"FALSE","no",137
"61","within an hour",100,88,"FALSE",1,"phone_email",-33.91844,18.39163,"Entire home/apt",10,4,4,4,7597,4,1125,4,1125,18,0.52,4.89,"FALSE","yes",115
"62","within an hour",100,99,"FALSE",165,"phone_email",-33.9185815,18.3868487,"Entire home/apt",2,1,1,1,1006,1,365,3.8,365,5,0.3,3.8,"TRUE","no",53
"63","within a few hours",100,86,"FALSE",3,"phone_email",-34.01462,18.4472,"Entire home/apt",2,1,1,1,2090,2,365,2,365,7,0.29,4.86,"FALSE","no",36
"64","within an hour",100,100,"FALSE",1,"phone_email",-33.9226768,18.3808071,"Entire home/apt",2,1,0,1,888,2,365,2.1,1125,16,0.88,4.5,"TRUE","no",26
"65","within a few hours",100,60,"FALSE",7,"phone_email",-33.94407,18.67435,"Private room",1,1.5,1,1,225,2,365,2,365,14,0.15,4.43,"FALSE","no",117
"66","within an hour",100,100,"FALSE",1,"phone_email",-34.11406,18.82301,"Entire home/apt",4,2,2,2,1788,2,60,2,60,6,0.88,5,"FALSE","no",15
"67","within an hour",100,100,"TRUE",10,"phone_email",-33.90939623,18.40355471,"Entire home/apt",6,2,3,1,4181,3,30,3,30,17,1.42,4.94,"FALSE","yes",112
"68","within an hour",100,92,"TRUE",8,"phone_email",-34.12575,18.44662,"Entire home/apt",6,3.5,4,4,6300,2,30,2,30,40,0.91,4.98,"FALSE","no",56
"69","within an hour",100,83,"TRUE",1,"phone_email",-34.03955,18.45708,"Entire home/apt",2,1,0,1,665,2,40,2,40,57,0.46,4.74,"FALSE","no",134
"70","within an hour",100,96,"TRUE",148,"phone_email",-33.91086899,18.39615955,"Entire home/apt",2,1,1,1,1138,2,1125,1.7,1125,2,1.87,5,"FALSE","no",91
"71","within an hour",100,88,"TRUE",1,"phone_only",-33.96077659,18.37453307,"Entire home/apt",4,2,2,3,2500,3,180,3.2,180,13,0.68,4.92,"FALSE","yes",143
"72","within an hour",94,93,"FALSE",51,"phone_email",-33.90867,18.40239,"Entire home/apt",2,1,1,1,1312,2,30,2,1125,21,1.43,4.9,"FALSE","no",145
"73","within an hour",95,83,"TRUE",23,"phone_email",-34.16537,18.41945,"Entire home/apt",4,2,2,2,1643,2,1125,2,1125,83,1.44,4.89,"FALSE","no",100
"74","within an hour",100,99,"TRUE",73,"phone_email",-33.91805,18.42076,"Entire home/apt",2,1,1,0,1050,1,365,1,365,54,3.05,4.87,"FALSE","no",123
"75","within a few hours",100,50,"FALSE",2,"phone_email",-34.10476,18.39183,"Private room",2,1,1,4,2754,5,32,5,32,4,0.19,4.75,"FALSE","yes",30
"76","within an hour",100,100,"FALSE",1,"phone_email",-34.05288,18.34125,"Entire home/apt",2,1,1,1,643,4,30,4,1125,98,1.01,4.72,"FALSE","no",106
"77","within a day",100,88,"FALSE",1,"phone_email",-34.01047,18.37628,"Entire home/apt",2,1.5,0,2,962,2,1125,2,1125,25,0.52,4.68,"FALSE","no",159
"78","within an hour",100,100,"TRUE",6,"phone_email",-33.80937178,18.47044318,"Entire home/apt",2,1,1,1,1042,1,365,1,365,6,5.29,4.83,"TRUE","no",31
"79","within a day",90,100,"TRUE",9,"phone_email",-33.85567438,18.49562954,"Entire home/apt",8,3.5,3,5,3929,3,365,3.7,365,8,0.74,4.75,"FALSE","yes",22
"80","within an hour",100,95,"TRUE",1,"phone_email",-34.0792,18.85737,"Entire home/apt",2,1,1,2,469,2,1125,2,1125,60,1.02,4.7,"FALSE","no",120
"81","within a few hours",100,100,"TRUE",1,"phone_only",-34.11714161,18.82628124,"Entire home/apt",4,2,1,2,1478,5,1125,5,1125,31,1.14,5,"FALSE","no",103
"82","within an hour",100,87,"FALSE",2,"phone_email",-33.92468,18.38004,"Entire home/apt",6,2.5,3,3,3517,3,365,2.9,365,15,1.53,4.93,"FALSE","no",21
"83","within an hour",75,89,"FALSE",1,"phone_email",-34.10117426,18.48119604,"Private room",2,1,1,1,418,2,1125,2,1125,26,0.86,4.81,"FALSE","no",78
"84","within an hour",100,95,"TRUE",2,"phone_email",-33.98364,18.4546,"Entire home/apt",2,1,1,1,1100,3,90,3,90,46,0.47,4.89,"FALSE","no",116
"85","within an hour",96,96,"FALSE",19,"phone_only",-33.9010667,18.402673,"Entire home/apt",5,2.5,2,3,2458,2,365,2,365,56,2.84,4.8,"FALSE","no",151
